age,salary
29.598573800204946,47106.30930547131
33.84385063427586,59675.37987064598
28.66064063200031,65036.73359894027
32.53630776288768,92652.25188808228
19.851082664369713,76678.63749440509
36.706349658983505,53974.221170801306
35.00964380289779,75832.43547301165
28.463290951454475,51432.352132739616
40.27396534745924,82992.29264664488
42.500561101012465,64346.50417818546
22.13952108504821,68876.36573512995
28.898201771470287,85909.55977050628
28.846861201701614,54554.037176989
27.480775191129084,53234.581778644104
41.63579873545399,62996.80808384794
33.44939088981757,82460.5462122318
32.883881269515115,51767.84709427789
18.969101084745972,36014.132822673164
40.083344241673814,64586.093699092016
25.08593284117222,76620.88959893104
35.47946104213062,84403.14099686596
37.21901550366554,64442.06365497521
45.88526876670921,65062.88071460797
24.529436807047105,83846.80881106897
10.843902753433397,47563.099603654955
36.47079635802956,65337.75069780389
49.40408945208683,72285.0866791007
44.9115708235155,75390.62465542041
36.677275322197005,63882.31968170941
31.066910514943622,70413.29214047009
41.45698077309848,40140.07175904413
27.21163040236425,62101.01905199382
38.81086215484975,75442.1045506536
39.04376127333301,58212.471588943845
43.48167925999104,70707.81065907517
57.07728031128862,75362.47000963238
38.139327737430136,65889.40958970682
30.92829099434001,72045.56525195885
34.79540550246404,58447.209216584655
20.847392760887054,67520.66464364744
29.442294951287536,77322.59403507067
31.725740495095167,71883.67553162121
30.80729281652326,62961.62476523277
36.21883897626978,72690.59685148952
28.420640540942394,78575.31748763942
43.96824533859577,45400.704657070266
35.00165651934558,83908.88877947077
34.92559743089099,65964.94313582714
32.376842267896656,75105.87919888276
36.241525470871835,84366.96308374274
41.60078611734107,53539.91563323441
28.0629582743128,61486.707970869444
29.73506808739795,66537.41564949154
32.57019176978668,60594.95774650686
24.23303261221428,90819.2389100417
28.445937122228017,59718.73487407849
31.19023301164273,63333.4386461576
41.99511344570182,72452.66837923572
37.1004906320154,55574.205687086935
36.548719290940355,65251.83145892483
41.807183697343774,73809.4391350021
33.90102569280483,66005.67514740987
38.12371879943112,68879.35769320063
34.17422597654003,63648.014650619545
37.12289879519703,51826.356289830794
30.337930739107343,73859.11853607086
15.489462733788567,91059.1968597669
33.92576670250957,70220.81956940125
46.381985088799524,72703.1694069706
42.409723217932736,78312.67306140231
42.72317987672937,54768.03404143961
